Sample,Population code,Superpopulation name,Population name,pc1_global,pc2_global,tsne1,tsne2,pc1_aims,pc2_aims,pc1_eur,pc2_eur,pc1_afr,pc2_afr,pc3_afr
HG00096,GBR,European Ancestry,British,0.3128271743518789,5.354349288066062,2.77121,23.939863,0.04386649549972732,1.92089771257794,-2.0161456695293927,0.47622035749652997,,,
HG00097,GBR,European Ancestry,British,-0.6794025933491141,6.1833294490899515,3.1062338,18.319641,0.10460084817453108,2.5988451278420177,-1.8085801081952873,-0.6403151984639186,,,
HG00099,GBR,European Ancestry,British,-0.42071017352026663,5.266719592566147,-2.0470665,15.688018,-0.9320509794730814,0.9687513393878155,2.488771398200651,-0.059743343779542074,,,
HG00100,GBR,European Ancestry,British,-0.8054185621599379,5.965095481584877,5.012587,19.504921,-0.6267149453946611,1.637349394292892,-3.42197844214984,-0.3721001683410595,,,
HG00101,GBR,European Ancestry,British,-0.7713854768425097,4.332075738834949,2.3143418,18.92006,-0.08520339363410945,2.1979628627274472,1.1472531107506763,1.0573667161535738,,,
HG00102,GBR,European Ancestry,British,-0.3538423281153501,4.854834562389644,5.156241,7.361405,0.6965860504615562,1.8380649927803827,-0.15376798256927346,-0.5814934974722444,,,
HG00103,GBR,European Ancestry,British,-0.9841510665324794,5.831849792433365,-4.683214,8.225549,-0.5894047985072417,1.4423907756076098,1.8398347219308526,0.7611460862194369,,,
HG00104,GBR,European Ancestry,British,-1.7265833448409929,5.221680993468903,1.91583,15.506129,-1.113872744946593,1.844602633441284,-0.7806511169433874,0.9012358534117861,,,
HG00106,GBR,European Ancestry,British,-2.025059837342204,3.8146425780820468,1.6640378,13.2569275,-1.4817800866193083,2.421516945000772,-2.9183526221919545,0.6018745204991875,,,
HG00108,GBR,European Ancestry,British,-1.8589015535320867,3.633817199270074,3.1638687,15.292111,0.15048549224311047,0.8570689975744551,2.724940516940472,-1.1699746078680817,,,
HG00109,GBR,European Ancestry,British,-1.0442990636931024,4.704613593496591,9.29947,16.851269,-1.156796119269545,1.0771039977638772,0.25093981460622694,2.9994015377324965,,,
HG00110,GBR,European Ancestry,British,-0.004161878013575482,5.68988781065158,3.8606243,16.979406,0.809605591722844,1.8268569882539811,-1.8213850499624338,-1.6638763006042796,,,
HG00111,GBR,European Ancestry,British,-1.544579081608692,4.64564972951225,-2.5341268,13.22428,-1.0275260591981326,0.201055467321809,0.6576234081922852,0.9064179892211119,,,
HG00112,GBR,European Ancestry,British,-1.0082302820310225,6.351847812894283,1.873821,17.628668,-0.9949656404743326,2.1359808121867347,-0.6243565567544248,-0.5097628124797587,,,
HG00113,GBR,European Ancestry,British,0.8000486860468233,7.138957426077383,1.205214,20.886951,-0.0708941670094474,2.64482449652134,-1.114884198219978,1.1507907615409012,,,
HG00114,GBR,European Ancestry,British,-1.8508735363312065,4.594660629031479,1.75446,25.778883,-1.2250331658628468,1.0897531212569476,0.8741077609734452,-1.2233336625350169,,,
HG00116,GBR,European Ancestry,British,-0.8104042395535092,5.273145751450425,1.7879447,25.777191,-1.4420675206032576,1.6210125940652034,0.33996558662401105,-1.0787616504731785,,,
HG00117,GBR,European Ancestry,British,-1.5624588741134606,4.882339720723742,-1.1436472,17.908379,-0.9406437831475665,2.4890988198087833,1.1408246066685455,-1.0765291369950356,,,
HG00118,GBR,European Ancestry,British,-0.10831703325877434,4.935999041947936,-1.8836395,17.36993,0.2096368088579469,2.265521632595063,-0.1088919597595093,2.642864625866726,,,
HG00119,GBR,European Ancestry,British,-0.5311884352483597,5.047738786022287,2.639117,21.118786,0.42799220037486996,2.567996308550399,-1.4542894496881373,-1.1829607178559032,,,
HG00120,GBR,European Ancestry,British,-0.5049376524377789,5.7791381011885585,1.8077335,25.75845,-0.3967100356079461,1.3428592794124128,-2.0533371413272645,0.4595011082718611,,,
HG00121,GBR,European Ancestry,British,0.5619274842013052,4.003300311660861,3.257754,21.821638,0.3542796444638223,2.308425402124395,-3.9180637884798113,-1.073117300438076,,,
HG00122,GBR,European Ancestry,British,0.03304637577629299,4.338457058936824,3.8307228,15.164401,-0.2398456392238683,1.0974473209794133,-2.899801607761665,-0.17145056791887836,,,
HG00123,GBR,European Ancestry,British,-0.7976298746018211,5.386458540263944,2.2045963,17.371124,-0.8611748401809818,2.2066309956499324,-2.4590028570916567,-0.13478684214531014,,,
HG00124,GBR,European Ancestry,British,0.7605243593235617,5.2076871491284225,2.5783296,21.004637,-0.48270933421485784,1.9154277955452468,-1.1469528909199218,-2.336768507068782,,,
