Sample,Population code,Superpopulation name,Population name,pc1_global,pc2_global,tsne1,tsne2,pc1_aims,pc2_aims,pc1_eur,pc2_eur,pc1_afr,pc2_afr,pc3_afr
HG00096,GBR,European Ancestry,British,0.31282717412722083,5.354349276217538,2.77121,23.939863,0.04386649549972732,1.92089771257794,-1.9605674300061995,0.6361129189056669,,,
HG00097,GBR,European Ancestry,British,-0.6794025931098231,6.183329404791005,3.1062338,18.319641,0.10460084817453108,2.5988451278420177,-1.7831502913342538,-0.7055666706738942,,,
HG00099,GBR,European Ancestry,British,-0.4207101717940115,5.266719639852495,-2.0470665,15.688018,-0.9320509794730814,0.9687513393878155,2.5559396658033595,-0.20492729259889703,,,
HG00100,GBR,European Ancestry,British,-0.8054185632232586,5.965095446531858,5.012587,19.504921,-0.6267149453946611,1.637349394292892,-3.4010356929510146,-0.38231184635907656,,,
HG00101,GBR,European Ancestry,British,-0.7713854760475809,4.332075769205106,2.3143418,18.92006,-0.08520339363410945,2.1979628627274472,1.2036981087382308,1.014371710915213,,,
HG00102,GBR,European Ancestry,British,-0.3538423281456985,4.8548346129617705,5.156241,7.361405,0.6965860504615562,1.8380649927803827,-0.12371725752326061,-0.7379234892878299,,,
HG00103,GBR,European Ancestry,British,-0.9841510663829727,5.831849824770206,-4.683214,8.225549,-0.5894047985072417,1.4423907756076098,1.8781489766991697,0.8714110285070792,,,
HG00104,GBR,European Ancestry,British,-1.7265833433665645,5.221681011679331,1.91583,15.506129,-1.113872744946593,1.844602633441284,-0.7833208017782988,0.7886554533416433,,,
HG00106,GBR,European Ancestry,British,-2.0250598361080954,3.814642601005589,1.6640378,13.2569275,-1.4817800866193083,2.421516945000772,-2.9188805487228024,0.5135384222110706,,,
HG00108,GBR,European Ancestry,British,-1.8589015536068647,3.6338171985872747,3.1638687,15.292111,0.15048549224311047,0.8570689975744551,2.6876353723847823,-1.1006103175074105,,,
HG00109,GBR,European Ancestry,British,-1.0442990623166462,4.7046136424760965,9.29947,16.851269,-1.156796119269545,1.0771039977638772,0.2602184354635405,3.0087072437725975,,,
HG00110,GBR,European Ancestry,British,-0.004161877408429104,5.6898878043462675,3.8606243,16.979406,0.809605591722844,1.8268569882539811,-1.758581739942285,-1.6623129459203871,,,
HG00111,GBR,European Ancestry,British,-1.5445790820789715,4.645649668492294,-2.5341268,13.22428,-1.0275260591981326,0.201055467321809,0.6800799319201523,1.0156367549056935,,,
HG00112,GBR,European Ancestry,British,-1.0082302822142282,6.351847832698519,1.873821,17.628668,-0.9949656404743326,2.1359808121867347,-0.6090111926970352,-0.629147544774717,,,
HG00113,GBR,European Ancestry,British,0.8000486861949294,7.138957381299824,1.205214,20.886951,-0.0708941670094474,2.64482449652134,-1.1556196326670767,1.2771163978721032,,,
HG00114,GBR,European Ancestry,British,-1.8508735364821007,4.5946605939499605,1.75446,25.778883,-1.2250331658628468,1.0897531212569476,0.9111012870374554,-1.494125643669391,,,
HG00116,GBR,European Ancestry,British,-0.8104042397150575,5.273145695840531,1.7879447,25.777191,-1.4420675206032576,1.6210125940652034,0.3506565759854512,-1.258765772450529,,,
HG00117,GBR,European Ancestry,British,-1.5624588748507238,4.882339722593601,-1.1436472,17.908379,-0.9406437831475665,2.4890988198087833,1.041171572807031,-0.9144663156863161,,,
HG00118,GBR,European Ancestry,British,-0.10831703258426006,4.93599904952116,-1.8836395,17.36993,0.2096368088579469,2.265521632595063,-0.1174838815277556,2.7211879904529495,,,
HG00119,GBR,European Ancestry,British,-0.5311884357091378,5.047738783992795,2.639117,21.118786,0.42799220037486996,2.567996308550399,-1.4598638719365924,-1.2486152293395227,,,
HG00120,GBR,European Ancestry,British,-0.5049376533639578,5.779138037066915,1.8077335,25.75845,-0.3967100356079461,1.3428592794124128,-2.0915041239701826,0.3849430988485748,,,
HG00121,GBR,European Ancestry,British,0.5619274826502583,4.003300314219122,3.257754,21.821638,0.3542796444638223,2.308425402124395,-3.873088151857669,-1.0796721557499493,,,
HG00122,GBR,European Ancestry,British,0.03304637494513707,4.338457048890874,3.8307228,15.164401,-0.2398456392238683,1.0974473209794133,-2.8700102840017565,-0.18049431016533335,,,
HG00123,GBR,European Ancestry,British,-0.7976298752367599,5.386458578115424,2.2045963,17.371124,-0.8611748401809818,2.2066309956499324,-2.4556626911329893,-0.17531002934303638,,,
HG00124,GBR,European Ancestry,British,0.7605243581308572,5.207687154293942,2.5783296,21.004637,-0.48270933421485784,1.9154277955452468,-1.210855587257774,-2.3144134240491216,,,
HG00125,GBR,European Ancestry,British,-0.4017605547388631,5.671875994326412,1.9057502,16.823599,0.01981567435410514,2.799778782832245,-0.27786397679369096,-3.4331023127382325,,,
HG00126,GBR,European Ancestry,British,-0.5455336316433901,5.919827637101035,1.5460129,19.109257,-1.163794662208295,1.8188372799924135,-1.5722653521496348,0.6793136023122366,,,
HG00127,GBR,European Ancestry,British,-1.539229891416532,3.9559908946525577,-7.9109817,12.710767,-1.1887381406535318,1.6234395862711457,1.935381305109741,-0.2633002393683296,,,
HG00128,GBR,European Ancestry,British,-0.40389591045184225,6.423973150484218,-4.0546584,21.845991,-0.3321897231592416,1.9631090168682646,-0.46144747634704986,1.8836326464635698,,,
HG00129,GBR,European Ancestry,British,-1.8476603201530026,6.102909268980364,-4.5184903,18.867744,-1.0167987450783809,1.3825506615391114,2.839636576419487,3.3280758084044337,,,
HG00130,GBR,European Ancestry,British,-0.9857401868544942,4.287486704694289,-3.7253962,15.274437,-1.1521383370403844,2.010853732809838,0.9193513374249834,-0.46109584049974356,,,
HG00131,GBR,European Ancestry,British,-1.1762851183319196,4.140857259733064,2.3658512,18.331673,-0.9135958896041632,1.2882330568205411,-1.4723517150822683,-1.8227500948476534,,,
HG00133,GBR,European Ancestry,British,-0.9169272649586219,3.5549569802061236,-0.7602387,9.529425,-0.2763890661532279,0.9047048549072592,0.001963206859963432,-1.3639982807790134,,,
HG00134,GBR,European Ancestry,British,-0.33484183606251494,6.843209438624953,1.0311468,19.948765,-0.16171664362845695,2.5337751488865274,-1.136504203122031,1.2380527539877424,,,
HG00135,GBR,European Ancestry,British,-0.8798270183647772,6.205225974876543,-2.3506904,15.478159,-1.5068563065605103,2.0753945726564114,-0.1415986152276422,2.6840229650934573,,,
HG00136,GBR,European Ancestry,British,-0.4231606750874306,5.747379178240774,-8.929397,13.23981,0.0995131585559429,2.1460364087242185,2.560861763557397,5.798370089670132,,,
HG00137,GBR,European Ancestry,British,-1.5838391261205849,6.106185746136176,-4.8096423,17.882723,-0.43778881376765977,2.268378008574226,1.0240522349357652,2.77276710776176,,,
HG00138,GBR,European Ancestry,British,0.4742318099223797,5.692680952833295,-8.539045,12.069397,0.3988635700319376,2.0916557601446994,1.5008268664087474,5.576024409096385,,,
HG00139,GBR,European Ancestry,British,-1.2812523749285694,4.950809272335977,5.072513,17.118792,-0.6867073934768018,1.6209666853385922,-1.5603580951600777,-0.7181825984479504,,,
HG00140,GBR,European Ancestry,British,-0.2709907876269073,4.690220332307646,4.8284793,12.094091,-0.5410598098031326,1.770809995566061,-2.8015069803092634,0.2841678556907327,,,
HG00141,GBR,European Ancestry,British,0.002687039430196214,5.916347291080164,2.114288,13.045213,0.006369255940959939,2.1020941586634923,-3.043258075395947,0.8107531435428282,,,
HG00142,GBR,European Ancestry,British,0.7402835591577348,5.228724222132417,1.2461685,20.03237,0.8892805678591711,1.1109545938289829,-0.9799461972629678,-0.9673572363052502,,,
HG00143,GBR,European Ancestry,British,-1.8132828834267336,4.560337153396864,1.7275299,16.776735,-1.3632993326138305,2.061811274066995,-1.1799046902801027,-2.4346771624885197,,,
HG00146,GBR,European Ancestry,British,-1.0223303605383491,5.070122386853225,5.9144125,20.962957,-0.03160497986033062,0.6502635138583397,-3.035956809898782,-1.469672317868944,,,
HG00148,GBR,European Ancestry,British,0.1298870347929615,6.085825397650817,-8.03953,12.699708,0.18668099824929973,1.5150310374936833,4.025379648942207,2.913018340146918,,,
HG00149,GBR,European Ancestry,British,-0.36314180712275124,5.460431879099237,4.7895017,15.592146,0.22390833242955943,2.149600345996294,-1.49616490113669,-1.766772917166669,,,
HG00150,GBR,European Ancestry,British,-1.2460353819716001,4.8279909198821755,2.209514,13.567305,-1.2737549023456336,1.1903704161592248,-2.402616035866012,0.8677211037484184,,,
HG00151,GBR,European Ancestry,British,-0.6815410040784187,5.157116159125794,1.2955928,17.20695,0.23934816889566835,3.0381481017265957,-2.0176785890333657,-1.70165745839894,,,
HG00152,GBR,European Ancestry,British,-0.7141134409068537,6.231930061848187,-9.548715,11.890601,-0.2985204029931503,1.5896768126220961,1.9749776381571764,1.1744390557270987,,,
HG00154,GBR,European Ancestry,British,-1.171942912603136,5.449426769615425,-0.8218332,13.884068,-1.1443592016430442,1.360713419823822,0.2548241689844532,1.1538287189951024,,,
HG00155,GBR,European Ancestry,British,-0.3268585989595843,5.172217019880556,-7.2311616,18.71647,-0.3825979736259865,2.555503661839875,0.10451649186564661,-0.5524376530309223,,,
HG00156,GBR,European Ancestry,British,-1.499299147429678,5.070849631696621,1.5816536,10.306459,-1.2668282988908768,2.272598007704766,-2.364149278008385,-0.14462379668856573,,,
HG00158,GBR,European Ancestry,British,-0.5375212333674007,4.851851605293024,4.477308,19.702087,-0.06945754697703954,2.33113451383918,-2.0435616572967468,0.8732357448952112,,,
HG00159,GBR,European Ancestry,British,0.017523498968001983,5.638589893634055,12.015426,15.667407,-0.17735823210946533,1.8500247641894934,0.02466477433879962,-0.02778766087862963,,,
HG00160,GBR,European Ancestry,British,-0.4249731401714157,6.9179579219416,-4.9758263,19.563372,-0.4496418528199904,2.814844098276664,4.593579500982837,0.20198324874516618,,,
HG00171,FIN,European Ancestry,Finnish,-2.5587936702813545,4.825576338683231,-2.654146,20.17009,-2.108538437746347,1.091401244882795,4.775487468781634,-1.1361733166492278,,,
HG00173,FIN,European Ancestry,Finnish,-1.6590092782121906,3.325253623640529,2.2250156,15.592864,-0.30787645530684254,1.7484288131554093,0.011573596656171433,-3.2232247460618995,,,
HG00174,FIN,European Ancestry,Finnish,-0.6203667058619231,4.3911478566732,3.3544908,14.404488,-1.0616651094450031,1.5591844852672667,0.8897603968576002,-3.18102010330537,,,
HG00176,FIN,European Ancestry,Finnish,-1.1600700127410244,5.136578254553956,-3.0949497,16.769718,-0.2129901450457185,1.979771775606583,1.2996000064055484,0.3670889741510609,,,
HG00177,FIN,European Ancestry,Finnish,-1.181441757114509,4.488041019078576,2.3798728,14.692227,-0.44708441727388937,2.31222708257388,-1.4512668159266506,-1.1125822215722736,,,
HG00178,FIN,European Ancestry,Finnish,0.36576076955342574,5.720751738569851,-3.7291431,17.763823,-0.3182011616970928,1.6119586105477013,1.4466711839460578,2.086201074989369,,,
HG00179,FIN,European Ancestry,Finnish,-1.8837023518553044,4.358860167933905,-3.1537757,12.850264,-0.6960395160216741,1.2233495658625817,2.2741657280022984,-0.865536459412678,,,
HG00180,FIN,European Ancestry,Finnish,-1.1226886681619188,4.87348556855195,-4.26541,11.912789,-1.1532135615476682,1.2776590748340215,3.0974150809927075,-0.21548692542741357,,,
HG00182,FIN,European Ancestry,Finnish,-1.0398491901654565,3.2229275508224835,-1.7552898,6.7468414,0.4249196797001511,1.3070379013720679,1.1516648563431167,-0.9711538192762956,,,
HG00183,FIN,European Ancestry,Finnish,-2.425073762302362,2.872577104527968,-6.8598375,15.022323,-0.7753233718951047,0.07347331921332079,7.886879726915953,1.1883189967167027,,,
HG00185,FIN,European Ancestry,Finnish,-1.5427987497817495,3.696032211286655,-2.683231,20.57645,-1.31217589251311,1.4672645012749028,0.18440186522400023,-3.225921081125824,,,
HG00186,FIN,European Ancestry,Finnish,-1.387202826903277,4.57982563364252,-1.8224554,18.611582,0.09153712332300634,1.4564854436410235,0.8142968338689681,-3.1757967867037054,,,
HG00187,FIN,European Ancestry,Finnish,-0.875809225523957,4.532310700999613,-5.25663,11.18889,-0.2825042229363695,1.2609909478702765,3.6791783183845492,1.6792335175640307,,,
HG00188,FIN,European Ancestry,Finnish,-1.162560163832,4.456324281180696,7.457679,11.394174,0.5594169346598086,1.2160521160381723,1.4853081889482294,-0.5640846580346891,,,
HG00189,FIN,European Ancestry,Finnish,-0.288117713723537,5.894649135386307,-9.993397,16.333208,-0.7962945142893307,1.5153921017275669,3.017026585969097,1.7145376839891273,,,
HG00190,FIN,European Ancestry,Finnish,-0.47380527343647866,6.145649021482253,-6.74999,15.011038,-1.0884640659327092,1.78203680405307,4.778681198041309,1.625749750880214,,,
HG00231,GBR,European Ancestry,British,-0.552993751438583,4.363847957278899,-6.529515,17.56809,-0.32788331006594196,0.4619878434972087,2.22013150137635,3.144355520640478,,,
HG00232,GBR,European Ancestry,British,-0.5116896094005283,6.834123762438179,0.06310084,13.892057,-0.9694762357965961,1.6392783097537238,0.2245178422764102,-1.2258879051280336,,,
HG00233,GBR,European Ancestry,British,-0.8834796024902525,4.6718815499803386,3.4946303,12.1630535,-1.3196671373739663,1.270773546480735,-0.8074961876342187,1.1345617563117305,,,
HG00234,GBR,European Ancestry,British,1.7164345822971598,4.353371675047234,6.6237726,13.971828,0.9877924485610252,1.467328386847358,-0.3028279010390988,-0.28030743829286775,,,
HG00235,GBR,European Ancestry,British,0.8107740682748037,5.354226285647899,3.7844493,22.783129,0.5736652086592791,2.279450252711348,-2.3103374454077747,-0.770228636863099,,,
HG00236,GBR,European Ancestry,British,-0.5109473336276477,5.138548386451747,4.949365,19.544334,-0.23664753678381129,2.110606944852744,-4.256454968054658,1.7764360145616156,,,
HG00237,GBR,European Ancestry,British,-0.1745965495357229,6.264458928345329,5.43312,16.00541,-0.27185001502206163,2.130890105591826,-2.713118549671024,-2.089087794069053,,,
HG00238,GBR,European Ancestry,British,0.3215584309638354,5.810612766965737,4.9266415,25.453695,0.8005213804092983,1.0884558255838268,-0.6282819739058547,-1.8106305762412065,,,
HG00239,GBR,European Ancestry,British,-1.838014411337785,5.860774364295105,-0.18304151,16.071314,-1.7876176117852345,1.9890703225007205,1.3353368594027801,-1.5193147920630092,,,
HG00240,GBR,European Ancestry,British,-1.1829139541476104,7.495474535182275,4.919657,25.462494,-0.5385160915506437,2.5160422299143357,0.18618222780055854,-0.8781705772951027,,,
HG00242,GBR,European Ancestry,British,-1.2410063211983848,4.857326477541338,-4.048737,10.274132,-0.34958954941653453,1.4935624930201745,6.180330078684412,2.896368543291847,,,
HG00243,GBR,European Ancestry,British,-0.6147271476018147,5.062918320788014,-3.9730594,10.529821,-0.916912231994388,2.29420656263746,3.493553492317989,1.7128276981661261,,,
HG00244,GBR,European Ancestry,British,-0.06612534834069927,4.809533208573616,3.8128912,8.676686,-0.46744938001382846,1.8761153374013706,-1.6815419909815899,0.573822442649835,,,
HG00245,GBR,European Ancestry,British,-2.3817671266371114,3.1382351220247253,0.22557555,15.316307,-1.6474871146160814,0.5674093813638383,-0.5232100331424255,-0.7461848790847598,,,
HG00246,GBR,European Ancestry,British,-1.4680125298973643,4.636612009190019,-2.377844,11.601407,-0.42959192554548115,1.0763099053086473,2.8947758689288348,-0.23040545302806262,,,
HG00247,GBR,European Ancestry,British,-0.9049507896949326,5.293359920868982,4.8131433,18.46413,-1.1117582488510025,1.766948091291583,-1.0307183116766614,-1.5220065223670998,,,
HG00249,GBR,European Ancestry,British,-0.9473700268570583,5.46007179931389,3.7697077,13.082453,-1.0126613809800022,2.4086483573682993,-2.1542634907698495,1.3732527763056053,,,
HG00250,GBR,European Ancestry,British,-0.9038847177328344,5.20967263446142,3.158757,14.134849,-0.15706447783850808,1.8098029282585275,-1.9956581353174785,0.4428770330368333,,,
HG00251,GBR,European Ancestry,British,-0.281773814768451,3.703732154975267,5.200165,10.554776,-0.720636626993281,2.15569370480906,-2.604487676179077,-0.5973350769345046,,,
HG00252,GBR,European Ancestry,British,-1.4227416153394872,6.406222666793737,3.7692764,13.257334,-1.3340382508628743,1.9569375041040913,-0.48683664755244077,-0.3831810086925814,,,
